Food,Associativity,Energy(kcal) per 100g,Proteins per 100g,Carbohydrates per 100g,Fats per 100g,Fiber per 100g,Carbon Footprint(kg CO2e) per 100g,Region_ Continental,Region_Continental,"Region_Continental,North,South,East,West",Region_East,Region_North ,"Region_North, South","Region_North, West","Region_North,East,West","Region_North,East,West,South","Region_North,South","Region_North,South,East","Region_North,South,East,West","Region_North,South,East,West,Continental","Region_North,South,East,west","Region_North,South,West","Region_North,West","Region_North,West,East","Region_North,West,East,South","Region_North,West,South",Region_South,Region_South ,"Region_South,East,West",Region_West,"Region_West,East",Type_Appetizer,"Type_Appetizer,Snacks",Type_Beverages,Type_Breakfast,"Type_Breakfast,Lunch","Type_Breakfast,Lunch,Dinner","Type_Breakfast,Snacks",Type_Dinner,Type_Dry Curry,"Type_Dry Curry, Gravy",Type_Gravy,Type_Lunch,Type_Lunch ,"Type_Lunch,Dinner","Type_Lunch,Dinner,Breakfast","Type_Lunch,Dinner,Snacks",Type_Snacks,"Type_Snacks,Appetizer","Type_Snacks,Breakfast",Category_Eggetarian,Category_Non-veg,Category_Veg,allergy_cinnamon,allergy_egg,allergy_nightshade,allergy_mushroom,allergy_chickpea_.,allergy_nut,allergy_seafood,allergy_dairy,allergy_sesame,allergy_pork,allergy_fish,allergy_caffeine,allergy_peanut,allergy_rice,allergy_garlic,allergy_citrus,allergy_onion,allergy_gluten,allergy_shellfish,allergy_soy,allergy_legume
Soya granules,2,105.07936507936509,6.666666666666667,13.333333333333334,2.857142857142857,6.031746031746032,0.14761904761904762,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chicken Rice,5,83.41232227488152,3.5545023696682465,12.085308056872037,2.3696682464454977,0.47393364928909953,0.37298578199052135,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Gravy tofu,2,84.96621621621621,3.040540540540541,3.7162162162162162,5.912162162162162,1.1824324324324325,0.2661570945945946,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Masala Tofu,2,46.05678233438486,3.1545741324921135,4.73186119873817,1.2618296529968454,1.5772870662460567,0.2103154574132492,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Roti Roll (Broccoli & Tofu),0,125.0,8.181818181818182,6.136363636363637,7.5,2.727272727272727,0.19039772727272727,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Smoothie (Soya Milk),12,25.736738703339885,0.9823182711198428,1.37524557956778,1.768172888015717,0.5893909626719057,0.03516699410609037,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tofu Salad,0,39.053254437869825,1.7751479289940828,3.5502958579881656,1.183431952662722,3.5502958579881656,0.09988165680473372,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Chunks Salad,0,27.703826955074874,1.8302828618968388,4.159733777038269,0.24958402662229617,1.497504159733777,0.11678036605657237,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Noodles Tofu Sizzler,0,84.2920353982301,2.6548672566371683,16.150442477876105,0.6637168141592921,1.5486725663716814,0.20341814159292032,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nutri matar (soya) Vegetable,2,57.95454545454546,3.125,6.534090909090909,1.9886363636363635,1.7045454545454544,0.1355965909090909,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Sprouts Salad,0,15.231092436974789,0.8403361344537815,2.6260504201680672,0.10504201680672269,0.7352941176470588,0.07244747899159663,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Lettuce wrap with Vegetables,0,70.61224489795919,3.2653061224489797,7.755102040816326,2.0408163265306123,2.857142857142857,0.13787755102040816,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BEANS/CHINESE BEANS,2,56.99999999999999,1.6666666666666667,3.6666666666666665,3.6666666666666665,2.666666666666667,0.10574999999999998,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vegetables In Black Bean Sauce,0,75.77319587628865,4.639175257731959,9.793814432989691,0.5154639175257731,6.185567010309279,0.07466494845360826,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Vietnamese cold Spring Roll,0,15.909090909090908,1.1363636363636365,2.6515151515151514,0.3787878787878788,0.7575757575757576,0.07674242424242424,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya wrap,0,24.52642073778664,1.5952143569292123,2.8913260219341974,0.5982053838484547,1.4955134596211366,0.09212362911266202,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Shredded Chicken with Soya Sauce,8,54.32098765432099,5.432098765432099,1.728395061728395,3.2098765432098766,0.0,0.4888888888888889,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rice Flour Wrap with Tofu And Veggie,0,46.0655737704918,1.1475409836065573,7.213114754098362,1.1475409836065573,0.49180327868852464,0.2869672131147541,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Tikki,6,25.70093457943925,2.6168224299065423,3.7383177570093453,0.09345794392523366,1.0280373831775702,0.08098130841121495,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Soya Flour Gobhi Stuffed Paratha,1,51.182795698924735,4.301075268817205,3.655913978494624,2.1505376344086025,1.5053763440860215,0.08548387096774193,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
